id,cod_entrevist,fecha,id_casa,edad,sexo,niv_eco,estudios,chiri_mod,chiri_cabz,chiri_cuerp,chiri_lug_mod,chiri_sign_mod,chiri_enfer,chiri_encontro,chiri_last_year,chiri_ahora_report_mod,agente,inspecc_ult_year,inspec_gratis,fumiga_permi,bodega,app_use_mod,imag_volant,hora_fin,datos_perdidos,tiempo_encuesta,obs
51,maria_palaco,2023-04-04,1.25.19.52,20,2,4,3,1,1,3,2,1,99,99,0,1,0,0,1,0,1,3,0,2023-04-26 09:21:00,0, 26 mins,
52,maria_palaco,2023-04-04,1.25.20.51,20,1,4,3,2,3,3,3,2,1,0,0,1,0,0,1,1,1,4,0,2023-04-26 09:47:00,0,  9 mins,
54,junior_vilca,2023-04-04,1.25.20.19,39,2,7,4,2,1,3,2,2,1,0,0,1,0,0,1,1,1,4,0,2023-04-26 09:32:00,0,  4 mins,
55,junior_vilca,2023-04-04,1.25.21A.5,64,1,1,3,4,3,3,2,2,1,0,0,1,0,0,1,1,1,1,0,2023-04-26 10:22:00,0,  4 mins,
56,manuel_ysidro,2023-04-04,1.7.36.187,52,1,2,3,2,2,3,2,1,1,0,0,1,0,0,99,1,1,3,0,2023-04-26 11:41:00,0, 11 mins,
57,manuel_ysidro,2023-04-04,1.7.36.169,45,1,1,3,1,3,1,2,1,1,0,0,1,0,0,1,1,0,2,0,2023-04-26 12:02:00,0,  9 mins,
58,manuel_ysidro,2023-04-04,1.7.36.139,31,1,1,4,2,2,2,1,1,1,0,0,1,0,0,1,1,1,4,0,2023-04-26 12:25:00,0,  6 mins,
59,manuel_ysidro,2023-04-04,1.7.36.107,56,1,2,3,4,1,3,3,1,1,1,0,1,0,0,1,1,0,3,0,2023-04-26 12:54:00,0, 17 mins,
60,claudia_gonzales,2023-04-04,1.11.1.54,50,2,2,5,2,1,3,2,1,1,0,0,1,99,0,1,1,1,2,0,2023-04-26 08:33:00,0, 10 mins,
61,claudia_gonzales,2023-04-04,1.11.2.159,48,2,2,4,2,3,3,1,1,1,99,0,1,99,0,1,1,1,2,0,2023-04-26 09:47:00,0, 13 mins,
62,rafhaela_manzaneda,2023-04-04,1.11.1.121,60,1,1,5,2,2,3,2,1,1,1,0,1,0,1,1,1,1,1,0,2023-04-26 08:58:00,0, 23 mins,
63,rafhaela_manzaneda,2023-04-04,1.11.2.214,30,1,1,3,1,2,3,1,1,1,0,0,1,0,0,1,1,1,2,1,2023-04-26 10:03:00,0, 10 mins,
64,jhonatan_ram,2023-04-04,1.25.26.1602,24,2,4,5,3,2,3,3,2,1,99,0,1,99,0,99,99,1,1,1,2023-04-26 10:05:00,0,  7 mins,
65,bryan_florez,2023-04-04,1.7.36.360A,64,2,2,3,2,1,1,2,2,1,1,0,1,0,0,1,1,1,2,0,2023-04-26 08:47:00,0, 12 mins,
66,bryan_florez,2023-04-04,1.7.36.352,42,2,3,5,4,1,3,2,1,1,0,0,1,0,0,1,1,1,3,1,2023-04-26 09:06:00,0,  9 mins,
67,bryan_florez,2023-04-04,1.7.36.312,20,2,2,3,3,2,3,3,1,1,0,0,1,0,0,1,1,1,4,1,2023-04-26 09:43:00,0,  8 mins,
68,bryan_florez,2023-04-04,1.7.37.205,27,1,1,3,2,3,1,3,2,1,0,1,1,0,0,1,1,1,3,0,2023-04-26 10:26:00,0,  8 mins,
69,bryan_florez,2023-04-04,1.7.36.254,48,1,1,4,3,1,3,2,1,1,0,0,1,0,0,1,1,1,4,0,2023-04-26 11:11:00,0,  7 mins,
70,bryan_florez,2023-04-05,1.7.36.52,65,2,2,5,1,99,3,6,1,1,0,0,1,0,0,1,1,1,2,0,2023-04-26 07:50:00,0,  7 mins,
71,bryan_florez,2023-04-05,1.7.36.145,66,1,2,2,2,3,1,2,1,1,0,0,1,0,0,1,1,1,1,0,2023-04-26 08:30:00,0,  6 mins,
72,bryan_florez,2023-04-05,1.7.37.123,54,1,1,3,1,1,3,2,1,1,0,0,1,0,0,0,1,1,1,0,2023-04-26 09:23:00,0, 10 mins,
73,manuel_ysidro,2023-04-05,1.7.37.52,30,1,1,3,1,3,1,3,1,1,0,0,1,0,1,1,1,1,4,1,2023-04-26 11:27:00,0, 17 mins,En la vivienda viven varias familias
74,manuel_ysidro,2023-04-05,1.7.36.10,44,2,2,5,4,1,2,3,2,1,0,0,1,0,0,1,0,1,3,0,2023-04-26 08:15:00,0,  6 mins,
75,manuel_ysidro,2023-04-05,1.7.37.22,55,1,1,3,2,1,3,1,1,1,0,0,1,0,0,0,1,1,1,1,2023-04-26 11:49:00,0, 14 mins,
76,maria_palaco,2023-04-05,1.25.17.145,60,2,5,3,4,1,3,3,1,1,0,0,1,0,0,0,1,1,3,0,2023-04-26 08:37:00,0, 14 mins,
77,maria_palaco,2023-04-05,1.25.21.571,64,2,2,3,2,2,3,2,1,1,0,0,1,0,1,1,1,1,2,0,2023-04-26 10:05:00,0, 16 mins,
78,maria_palaco,2023-04-05,1.25.21.463,71,1,1,2,2,99,99,2,1,1,0,0,1,0,0,0,0,0,1,0,2023-04-26 10:57:00,0,  7 mins,
79,maria_palaco,2023-04-05,1.25.21.376,40,2,2,2,1,99,99,1,1,1,0,0,1,99,0,0,1,1,2,0,2023-04-26 11:32:00,0,  3 mins,
80,junior_vilca,2023-04-05,1.25.21.685,77,2,5,5,1,99,99,1,1,1,0,0,1,0,0,1,1,0,4,0,2023-04-26 09:06:00,0,  5 mins,
81,junior_vilca,2023-04-05,1.25.21.572,46,2,1,5,1,1,3,2,1,1,0,0,1,0,0,1,1,1,4,1,2023-04-26 10:17:00,0, 10 mins,
82,junior_vilca,2023-04-05,1.25.21.754,28,1,1,5,2,1,2,2,2,1,0,0,1,1,0,1,1,1,4,1,2023-04-26 11:16:00,0,  6 mins,
83,junior_vilca,2023-04-05,1.25.21.504,42,2,3,6,2,1,3,5,3,1,0,1,1,0,1,1,1,1,4,1,2023-04-26 11:49:00,0,  6 mins,
84,marjorie_llerena,2023-04-05,1.25.6.74,65,2,2,3,1,99,99,1,1,1,0,0,1,0,0,0,1,1,2,1,2023-04-26 08:24:00,0, 45 mins,
85,marjorie_llerena,2023-04-05,1.25.6.8,46,1,1,5,1,3,3,1,1,1,0,0,1,0,0,1,1,1,3,1,2023-04-26 08:35:00,0, 10 mins,
86,marjorie_llerena,2023-04-05,1.25.6.92,67,2,5,4,2,1,3,2,2,1,0,0,1,0,0,1,1,1,3,0,2023-04-26 09:09:00,0, 30 mins,
87,marjorie_llerena,2023-04-05,1.25.6.130,61,1,1,4,4,1,3,3,2,1,0,0,1,0,0,1,1,1,1,0,2023-04-26 09:21:00,0,  9 mins,
88,marjorie_llerena,2023-04-05,1.25.3.74,24,2,3,5,2,2,3,2,1,1,0,0,1,99,0,0,1,1,2,0,2023-04-26 09:51:00,0, 27 mins,
89,marjorie_llerena,2023-04-05,1.25.3.16,31,2,2,3,1,2,3,2,2,1,0,0,1,0,0,1,1,1,2,1,2023-04-26 10:11:00,0, 18 mins,
90,marjorie_llerena,2023-04-05,1.25.4.234,24,2,2,4,1,2,1,1,1,1,0,0,1,0,0,0,1,1,4,0,2023-04-26 10:44:00,0, 33 mins,
91,marjorie_llerena,2023-04-05,1.25.3.438,30,1,2,4,1,1,3,2,1,1,0,0,1,0,0,1,1,1,1,0,2023-04-26 11:54:00,0, 70 mins,
92,arlet_reyes,2023-04-05,1.25.3.182,53,1,2,3,2,2,3,2,1,1,0,0,1,0,0,0,0,0,1,0,2023-04-26 10:47:00,0, 12 mins,
93,arlet_reyes,2023-04-05,1.25.3.443,58,1,2,3,1,1,3,2,1,1,0,0,1,0,0,1,1,0,2,0,2023-04-26 11:42:00,0, 10 mins,
94,arlet_reyes,2023-04-05,1.25.3.430,28,1,2,5,2,2,3,2,2,1,0,0,1,0,0,1,1,1,4,0,2023-04-26 12:10:00,0,  6 mins,
95,lina_mollesaca,2023-04-05,1.25.26.2663,25,1,4,5,2,2,3,2,2,99,0,0,1,0,0,1,1,0,3,0,2023-04-26 08:57:00,0,  5 mins,
96,lina_mollesaca,2023-04-05,1.25.26.2682,62,2,5,4,1,3,3,2,1,1,0,0,1,0,0,1,1,1,1,0,2023-04-26 09:14:00,0,  4 mins,
97,lina_mollesaca,2023-04-05,1.25.26.2640,56,1,1,3,2,2,3,1,1,99,0,0,1,0,0,1,1,1,1,1,2023-04-26 09:38:00,0,  5 mins,
98,lina_mollesaca,2023-04-05,1.25.26.2399,29,1,2,4,2,3,1,2,1,99,0,0,1,0,0,99,99,1,3,0,2023-04-26 11:03:00,0,  4 mins,
99,lina_mollesaca,2023-04-05,1.25.26.2633,61,2,2,3,2,3,3,2,1,1,0,0,1,0,0,99,1,1,1,0,2023-04-26 11:52:00,0,  3 mins,
100,lina_mollesaca,2023-04-05,1.25.26.2350,25,1,2,4,2,2,2,1,1,99,0,0,1,0,0,99,99,1,3,0,2023-04-26 12:08:00,0,  3 mins,
101,roger_quispe,2023-04-05,1.7.31.64,30,1,1,3,2,2,3,2,1,1,0,0,1,0,0,1,1,1,2,1,2023-04-26 08:24:00,0, 12 mins,
102,roger_quispe,2023-04-05,1.7.31.34,72,1,1,3,4,3,1,3,1,1,0,0,2,0,0,1,1,1,1,1,2023-04-26 08:58:00,0, 11 mins,
103,roger_quispe,2023-04-05,1.7.31.26,25,1,2,5,2,3,2,2,1,1,0,0,1,0,0,1,1,1,4,0,2023-04-26 09:36:00,0, 35 mins,
104,roger_quispe,2023-04-05,1.7.33.19,35,1,1,3,2,3,1,2,1,1,0,0,1,99,1,99,99,1,2,0,2023-04-26 10:33:00,0, 23 mins,
105,jacqueline_cardenas,2023-04-05,1.7.30.145A,50,2,2,4,1,99,3,2,1,1,0,0,1,0,0,1,1,1,2,0,2023-04-26 07:37:00,0,  5 mins,
106,jacqueline_cardenas,2023-04-05,1.7.31.14,35,2,2,4,2,1,3,1,1,1,0,0,1,99,0,1,1,1,2,0,2023-04-26 09:21:00,0,  4 mins,
107,jacqueline_cardenas,2023-04-05,1.7.33.29,93,2,5,3,2,3,2,1,1,1,0,0,1,0,1,0,0,0,1,1,2023-04-26 11:00:00,0, 10 mins,
108,jacqueline_cardenas,2023-04-05,1.7.31.11,40,1,1,5,1,1,2,3,1,1,0,0,1,0,0,1,1,1,1,1,2023-04-26 11:54:00,0,  5 mins,
109,vanessa_rendon,2023-04-05,1.7.24.613,58,1,2,99,1,3,3,1,1,0,0,0,1,0,0,1,1,1,1,0,2023-04-26 08:01:00,0, 24 mins,
110,vanessa_rendon,2023-04-05,1.7.24.881,42,1,2,3,1,1,1,1,2,0,0,0,1,0,0,0,0,0,1,0,2023-04-26 08:38:00,0, 36 mins,
111,vanessa_rendon,2023-04-05,1.7.24.941,72,1,1,3,1,2,3,2,1,1,0,0,1,0,0,1,1,1,2,0,2023-04-26 09:07:00,0, 27 mins,
112,vanessa_rendon,2023-04-05,1.7.24.1015,27,2,2,5,1,1,3,1,1,1,0,0,1,0,0,1,1,1,3,0,2023-04-26 09:45:00,0, 30 mins,
113,vanessa_rendon,2023-04-05,1.7.24.984,58,1,1,2,2,2,3,2,1,99,0,0,1,0,1,1,1,1,2,0,2023-04-26 10:21:00,0, 29 mins,
114,vanessa_rendon,2023-04-05,1.7.24.497,33,2,3,5,1,1,3,1,1,1,0,0,1,0,0,1,1,1,3,1,2023-04-26 11:02:00,0, 33 mins,
115,vanessa_rendon,2023-04-05,1.7.24.504,38,1,2,3,3,3,3,2,1,1,0,0,1,0,0,1,1,0,3,0,2023-04-26 12:14:00,0, 52 mins,
116,claudia_gonzales,2023-04-05,1.11.1.170,22,1,4,5,1,3,3,2,1,1,0,0,1,0,0,1,1,1,4,0,2023-04-26 08:12:00,0,  7 mins,
117,claudia_gonzales,2023-04-05,1.11.10.62,55,1,1,4,1,3,1,2,1,1,0,0,1,0,0,0,99,1,2,0,2023-04-26 09:09:00,0, 39 mins,
118,claudia_gonzales,2023-04-05,1.11.10.3,64,1,2,5,3,3,3,2,3,1,0,0,1,0,1,1,0,1,2,0,2023-04-26 11:32:00,0, 19 mins,"Es un local, en el que hay farmacia y centro dental."
119,claudia_gonzales,2023-04-05,1.11.3.491,49,2,2,4,1,1,3,5,2,1,99,99,1,99,99,1,1,1,1,1,2023-04-26 12:25:00,0, 28 mins,
120,claudia_gonzales,2023-04-05,1.11.3.673,32,2,3,4,1,2,2,2,1,1,99,0,1,0,0,1,1,0,4,0,2023-04-26 13:49:00,0, 45 mins,
121,rafhaela_manzaneda,2023-04-05,1.11.2.289,81,2,2,3,2,3,3,1,1,1,99,1,1,0,1,1,1,1,1,1,2023-04-26 08:12:00,0, 40 mins,
122,rafhaela_manzaneda,2023-04-05,1.11.1.98,,1,3,5,3,2,3,1,1,99,0,0,1,0,1,1,1,0,2,0,2023-04-26 09:09:00,1,  0 mins,No quiso decir su edad
123,rafhaela_manzaneda,2023-04-05,1.11.3.454,31,2,2,4,2,1,3,1,1,1,0,0,1,0,1,1,1,0,1,0,2023-04-26 12:40:00,0, 33 mins,
124,rafhaela_manzaneda,2023-04-05,1.11.3.444,38,2,2,3,1,1,3,1,1,1,0,0,1,0,1,1,1,1,1,1,2023-04-26 13:52:00,0, 48 mins,
125,vanessa_rendon,2023-04-10,1.7.24.1223,18,1,4,3,2,1,2,3,2,1,0,0,1,0,0,1,1,1,2,0,2023-04-26 08:09:00,0, 37 mins,
126,vanessa_rendon,2023-04-10,1.7.24.1444,40,1,1,5,1,3,3,1,1,1,0,0,1,0,0,1,1,1,1,0,2023-04-26 08:57:00,0, 39 mins,
127,vanessa_rendon,2023-04-10,1.7.24.1324,81,1,1,2,1,2,1,1,1,1,0,0,1,0,0,1,1,0,1,0,2023-04-26 09:46:00,0, 34 mins,
128,vanessa_rendon,2023-04-10,1.7.24.1219,36,2,2,4,1,3,1,1,1,99,0,0,1,0,0,1,1,1,2,1,2023-04-26 10:34:00,0, 38 mins,
129,vanessa_rendon,2023-04-10,1.7.28.38,52,2,2,5,1,4,3,2,1,1,0,0,1,0,0,1,1,1,2,0,2023-04-26 11:23:00,0, 39 mins,
130,vanessa_rendon,2023-04-10,1.7.28.40,62,2,2,5,1,1,3,1,1,0,0,0,2,0,0,0,1,,,,2023-04-26 12:13:00,3, 35 mins,no quiso contestar las 3 últimas preguntas
131,vanessa_rendon,2023-04-10,1.7.27.218,27,1,1,3,2,2,3,1,1,1,0,0,1,0,0,1,1,1,3,0,2023-04-26 14:01:00,0, 35 mins,
132,arlet_reyes,2023-04-10,1.25.3.837,43,1,2,4,4,1,3,3,1,1,0,1,1,99,99,1,1,0,2,0,2023-04-26 08:58:00,0,  6 mins,
133,arlet_reyes,2023-04-10,1.25.3.804A,19,1,4,5,2,1,2,2,1,1,0,0,1,0,0,1,1,1,4,1,2023-04-26 09:31:00,0,  4 mins,
134,arlet_reyes,2023-04-10,1.25.3.247,44,1,1,3,2,1,3,1,1,1,0,0,1,0,0,0,1,0,1,0,2023-04-26 11:14:00,0,  4 mins,
135,marjorie_llerena,2023-04-10,1.25.3.944,83,2,2,2,1,2,3,2,1,1,0,0,1,0,0,0,0,0,1,0,2023-04-26 08:43:00,0, 99 mins,
136,marjorie_llerena,2023-04-10,1.25.3.1000,31,1,3,5,2,2,3,2,1,1,0,0,1,0,0,0,0,0,2,0,2023-04-26 09:18:00,0, 35 mins,
137,marjorie_llerena,2023-04-10,1.25.3.1017,59,1,2,3,2,2,3,2,1,1,0,0,1,0,0,0,1,1,2,0,2023-04-26 09:39:00,0, 21 mins,
138,marjorie_llerena,2023-04-10,1.25.3.1103,42,1,2,3,2,2,3,2,1,0,0,0,1,0,0,0,1,1,3,0,2023-04-26 10:18:00,0, 38 mins,
139,marjorie_llerena,2023-04-10,1.25.3.1001,53,1,2,2,2,2,3,3,1,1,0,0,1,0,0,0,1,1,1,0,2023-04-26 11:08:00,0, 50 mins,
140,marjorie_llerena,2023-04-10,1.25.3.988,67,2,5,4,1,2,3,2,1,1,0,0,1,0,0,1,1,1,1,0,2023-04-26 12:03:00,0, 55 mins,
141,marjorie_llerena,2023-04-10,1.25.3.940,49,1,2,3,2,1,3,2,1,1,0,0,1,0,0,1,1,0,2,0,2023-04-26 12:52:00,0, 49 mins,
142,marjorie_llerena,2023-04-10,1.25.3.1035,70,2,6,3,1,1,3,2,1,1,0,0,1,0,0,0,1,1,1,0,2023-04-26 13:04:00,0, 12 mins,
